Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
87,300000,"Apartment 88, Burnell Square, Mayne River Avenue, Malahide Road, Northern Cross",2,2,64.0,4688.0
88,245000,"Apartment 4, Ballymount Square, Ballymount, Dublin 12",1,1,60.0,4083.0
89,245000,"10 The Square, Larch Hill, Dublin 9",2,1,64.0,3828.0
90,485000,"43 Lambay Road, Drumcondra, Drumcondra, Dublin 9",2,1,86.0,5640.0
91,295000,"43 Prospect Avenue, Glasnevin, Dublin 9",2,1,61.0,4836.0
92,475000,"25 Castleknock Elms, Castleknock, Castleknock, Dublin 15",3,2,100.0,4750.0
93,350000,"Apartment 28, Christchurch View, Christchurch, Dublin 8",2,1,56.0,6250.0
94,445000,"Apartment 53, Hazelbrook, Goatstown, Dublin 14",2,2,75.0,5933.0
95,200000,"Apartment 20, Block A, Lansdowne Valley Apartments, Drimnagh, Dublin 12",1,1,57.0,3509.0
96,280000,"Apartment 34, Griffith Hall, Glandore Road, Drumcondra, Dublin 3",2,1,65.0,4308.0
97,295000,"6 Kings Hall, 191-193 Phibsboro Road, Dublin 7",2,1,52.0,5673.0
98,525000,"60 Milltown Avenue Mount St Annes Milltown Dublin 6, Milltown, Dublin 6",2,2,85.0,6176.0
99,695000,"23 Fortfield Road Terenure Dublin 6W, Terenure, Dublin 6",3,2,124.0,5605.0
100,295000,"Apartment 7, Kilross, Rathmines, Dublin 6",1,1,47.0,6277.0
101,595000,"208 Kimmage Road Lower, Kimmage, Dublin 12",4,2,113.0,5265.0
102,525000,"Apartment 50, Orwell Hall, Rathgar, Dublin 6",1,1,64.0,8203.0
103,435000,"46 Cremorne, Terenure, Dublin 6",2,1,73.0,5959.0
104,495000,"30 Idrone Park, Knocklyon, Dublin 16",2,1,102.0,4853.0
105,495000,"129 Nutgrove Avenue, Rathfarnham, Dublin 14",3,1,70.0,7071.0
106,595000,"50 Prospect View, Prospect Manor, D16P9W7, Dublin 16",4,2,115.0,5174.0
107,325000,"105 The Beech, Grange Hall, Rathfarnham, Dublin 16",2,2,76.0,4276.0
108,550000,"22 Llewellyn Court, Rathfarnham, Dublin 16",3,1,80.0,6875.0
109,595000,"106 Templeville Road, Templeogue, Dublin 6W",4,1,149.0,3993.0
110,675000,"The Meadow, 157a Whitehall Road West, Perrystown, Dublin 12",3,3,124.0,5444.0
111,1100000,"The Oak, 106a Templeville Road, Templeogue, Dublin 6W",4,3,241.0,4564.0
112,325000,"244 Keeper Road, Drimnagh, Dublin 12",2,1,70.0,4643.0
113,525000,"14 St. Mary's Avenue, Rathfarnham, Dublin 14",2,1,93.0,5645.0
114,695000,"95 Barton Drive, Rathfarnham, Dublin 14",4,3,126.0,5516.0
115,1100000,"3 Old Orchard, Butterfield Avenue, Dublin 14",4,2,190.0,5789.0
116,595000,"19 Prospect Avenue, Prospect Manor, Rathfarnham, Dublin 16",3,3,142.0,4190.0
117,395000,"17 Whitechurch Place, Rathfarnham, Dublin 16",3,3,87.0,4540.0
118,750000,"31 Orchardstown Avenue, Rathfarnham, Dublin 14",4,2,158.0,4747.0
119,445000,"32 Nutgrove Avenue, Rathfarnham, Dublin 14",3,1,83.0,5361.0
120,249950,"11 Sundale Lawn, Tallaght, Dublin 24",3,1,82.0,3048.0
121,275000,"13 Alderwood Avenue, Springfield, D24W65N, Dublin 24",3,1,80.0,3438.0
122,450000,"81 Carrigwood, Firhouse, Dublin 24",3,1,100.0,4500.0
123,249000,"108 Buttercup Park, Darndale, Dublin 17",3,1,80.0,3112.0
124,495000,"13 Shackleton Crescent, Lucan, Co. Dublin",4,3,172.0,2878.0
125,1065000,"9 Old Estuary Mill, Malahide, Co. Dublin",5,4,265.0,4019.0
126,300000,"59 Gleann Na Ri, Cherrywood, Cabinteely, Dublin 18",2,1,60.0,5000.0
127,380000,"10 Oldbridge Green, Lucan, Co. Dublin",3,3,102.0,3725.0
128,595000,"62 Belgrove Lawn, Chapelizod, Dublin 20",4,2,135.0,4407.0
129,550000,"Barr Na Coille, Barr Na Coille, 36E Chapelizod Hill Road, Chapelizod, Dublin 20",4,3,173.0,3179.0
130,260000,"83 The Steeples, Chapelizod, Dublin 20",2,1,57.0,4561.0
131,525000,"2 Chanel Road, Artane, Coolock, Dublin 5",4,3,155.0,3387.0
132,545000,"58 Laurel Park, Clondalkin, Dublin 22",4,2,214.0,2547.0
133,465000,"2 Kiltipper Drive, Aylesbury, Tallaght, Dublin 24",3,1,108.0,4306.0
134,545000,"22 Brownsbarn Wood, Kingswood, Tallaght, Dublin 24",4,4,185.0,2946.0
135,450000,"146 Broadmeadows, Swords, Co. Dublin",5,2,126.0,3571.0
136,495000,"274A Glasnevin Avenue, Glasnevin, Dublin 11",4,3,111.0,4459.0
137,495000,"46 Knockabawn, Rush, Co. Dublin",4,2,161.0,3075.0
138,225000,"31 Marlfield Place, Kiltipper, Dublin 24",2,1,55.0,4091.0
139,295000,"38 Morrow House, Longfield Road, The Coast, Baldoyle, Dublin 13",2,2,70.0,4214.0
140,475000,"3 Taobh Na Coille, Old Knocklyon Road, Knocklyon, Dublin 16",3,3,88.0,5398.0
141,299000,"14 St Brendan's Park, Coolock, Dublin 5",3,1,96.0,3115.0
142,375000,"21 Glenarm Square, Drumcondra, Dublin 9",2,1,70.0,5357.0
143,450000,"12 Belltree Walk, Belltree, Clongriffin, Dublin 13",3,3,130.0,3462.0
144,475000,"19 Park Street, Clongriffin, Dublin 13",3,3,117.0,4060.0
