,price,address,bedrooms,bathrooms,floor_area,district,neighbourhood,price_sqm
50,350000,"19 Saint Samson's Square, Balgriffin, Dublin 13",3,3,102.0,Dublin 13, Balgriffin,3431.0
51,895000,"21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4,2,180.0,Dublin 13, Sutton,4972.0
52,475000,"2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4,3,118.0,Dublin 15, Clonsilla,4025.0
54,275000,"Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3,2,87.0,Dublin 24, Tallaght,3161.0
55,1700000,"Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",3,3,161.0,Dublin 4, Donnybrook,10559.0
56,895000,"7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",4,3,140.0,Blackrock, Booterstown,6393.0
57,975000,"Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",4,4,175.0,Dublin 14, Dundrum Road,5571.0
58,1100000,"Lohengrin, 13 Charleville, Churchtown, Dublin 14",5,3,170.0,Dublin 14, Churchtown,6471.0
59,395000,"56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",2,2,76.0,Dublin 18, Carrickmines,5197.0
60,795000,"3 Malone Gardens, Sandymount, Dublin 4",4,2,170.0,Dublin 4, Sandymount,4676.0
61,590000,"Apartment 2 Block J, Hanover Riverside, Forbes Street, Grand Canal Dock, Dublin 2",3,3,97.0,Dublin 2, Grand Canal Dock,6082.0
62,399000,"72 Shantalla Drive, Beaumont, Beaumont, Dublin 9",3,1,100.0,Dublin 9, Beaumont,3990.0
63,595000,"3 St. Peter's Avenue, Phibsborough, Dublin 7",2,1,110.0,Dublin 7, Phibsborough,5409.0
64,370000,"70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",3,2,89.0,Dublin 9, Santry,4157.0
65,995000,"66 Offington Lawn, Sutton, Sutton, Dublin 13",4,2,239.0,Dublin 13, Sutton,4163.0
66,599000,"10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",4,3,125.0,Dublin 8, The Coombe,4792.0
67,760000,"77 Ballintyre Grove, Ballinteer, Dublin 16",3,4,249.0,Dublin 16, Ballinteer,3052.0
68,495000,"36 Glenbourne Road, Leopardstown Valley, Leopardstown, Dublin 18",3,3,95.0,Dublin 18, Leopardstown,5211.0
69,435000,"Apartment 5, Hazelbrook, Dublin 14",2,2,79.0,Dublin 14, Hazelbrook,5506.0
70,350000,"46 The William Bligh, The Gasworks, Ringsend, Dublin 4",1,1,54.0,Dublin 4, Ringsend,6481.0
71,250000,"8 St. Johns Close, Clondalkin, D22X2A2, Dublin 22",2,1,58.0,Dublin 22, D22X2A2,4310.0
72,250000,"227 Landen Road, Ballyfermot, Ballyfermot, Dublin 10",2,1,62.0,Dublin 10, Ballyfermot,4032.0
73,289950,"38 Melville Park, Finglas, Dublin 11",3,3,117.0,Dublin 11, Finglas,2478.0
74,345000,"11C Blessington Lane, Phibsborough, Dublin 7",1,1,66.0,Dublin 7, Phibsborough,5227.0
75,385000,"Apartment 40, The Willow, Dundrum, Dublin 14",2,2,72.0,Dublin 14, Dundrum,5347.0
76,595000,"Subiaco, 28C Stable Lane Mews, Monkstown, Co. Dublin",2,1,92.0,Blackrock, Monkstown,6467.0
77,235000,"36 Sheepmoor Avenue, Blanchardstown, Blanchardstown, Dublin 15",3,2,101.0,Dublin 15, Blanchardstown,2327.0
78,625000,"39 Patrick Street, Dun Laoghaire, Co. Dublin",2,2,80.0,Glenageary, Dun Laoghaire,7812.0
79,580000,"40 Ennafort Road, Raheny, Dublin 5",3,1,95.0,Dublin 5, Raheny,6105.0
80,3500000,"30 Waltham Terrace Blackrock, Blackrock, Co. Dublin",5,2,330.0,Blackrock, Blackrock,10606.0
81,260000,"5 Swiftbrook Drive, Tallaght, Tallaght, Dublin 24",3,2,85.0,Dublin 24, Tallaght,3059.0
82,265000,"Apartment 12, Burnell Square, Malahide Road, Northern Cross",2,2,69.0,Dublin 17, Malahide Road,3841.0
83,800000,"3, 51 Powerscourt, Off Mount Street Crescent, Dublin 2",3,3,118.0,Dublin 2, Off Mount Street Crescent,6780.0
84,875000,"11 Coulson Avenue, Rathgar, Rathgar, Dublin 6",4,1,130.0,Dublin 6, Rathgar,6731.0
85,455000,"Apartment C, The Granary, Dublin 8",2,2,96.0,Dublin 8, The Granary,4740.0
86,440000,"7 Moyclare Avenue, Baldoyle, Baldoyle, Dublin 13",3,2,81.0,Dublin 13, Baldoyle,5432.0
87,465000,"84 Harcourt Green, Charlemont Street, Dublin 2",2,2,65.0,Dublin 2, Charlemont Street,7154.0
88,600000,"12 Tara Hill Grove, Rathfarnham, Dublin 14",2,2,122.0,Dublin 14, Rathfarnham,4918.0
89,550000,"31 Belarmine View, Stepaside, Dublin 18",3,3,110.0,Dublin 18, Stepaside,5000.0
90,230000,"55 Mayeston Square, Finglas, D11HN63, Dublin 11",2,2,72.0,Dublin 11, D11HN63,3194.0
91,795000,"420 Howth Road, Raheny, Dublin 5",3,2,126.0,Dublin 5, Raheny,6310.0
92,230000,"53 Sandyhill Gardens, Ballymun, Ballymun, Dublin 9",4,2,90.0,Dublin 9, Ballymun,2556.0
93,530000,"Apartment 30, Castle Gate, Dublin 2",2,2,75.0,Dublin 2, Castle Gate,7067.0
94,975000,"5 Friarsland, Roebuck Road, Clonskeagh, Dublin 14",5,5,175.0,Dublin 14, Clonskeagh,5571.0
95,294950,"4 Corrig House, Corrig Avenue, Dun Laoghaire, Co. Dublin",1,1,47.0,Glenageary, Dun Laoghaire,6276.0
96,265000,"190 Le Fanu Road, Ballyfermot, Ballyfermot, Dublin 10",3,1,89.0,Dublin 10, Ballyfermot,2978.0
97,335000,"Apartment 8, Rathborne Court, Ashtown, Dublin 15",2,2,81.0,Dublin 15, Ashtown,4136.0
98,445000,"63 McCabe Villas, Booterstown, Co. Dublin",2,1,68.0,Blackrock, Booterstown,6544.0
99,1195000,"97B Highfield Park, Dundrum, Dundrum, Dublin 14",3,2,180.0,Dublin 14, Dundrum,6639.0
100,395000,"49 Killakee Avenue, Firhouse, Dublin 24",3,1,84.0,Dublin 24, Firhouse,4702.0
101,550000,"130 Dorney Court, Shankill, Dublin 18",3,2,102.0,Dublin 18, Shankill,5392.0
102,425000,"6 Russell Avenue, Drumcondra, Drumcondra, Dublin 3",4,4,80.0,Dublin 3, Drumcondra,5312.0
103,369000,"9 Heather Grove, Palmerstown Dublin20, D20HT32, Palmerstown, Dublin 20",3,1,83.0,Dublin 20, Palmerstown,4446.0
104,335000,"Apartment 227, The Camden, Dublin 4",1,1,46.0,Dublin 4, The Camden,7283.0
105,275000,"Apartment 24 Swift Hall, The Coombe, Dublin 8",1,1,41.0,Dublin 8, The Coombe,6707.0
106,494950,"18 Beechwood Lawn, Glenageary, Co. Dublin",3,1,85.0,Glenageary, Glenageary,5823.0
107,725000,"45 Stillorgan Wood, Stillorgan, Co. Dublin",4,3,155.0,Blackrock, Stillorgan,4677.0
108,295000,"44 Old, Kilmainham, Dublin 8",2,1,70.0,Dublin 8, Kilmainham,4214.0
109,750000,"The Townhouse, 3 Taney Park, Dundrum, Dublin 14",3,4,168.0,Dublin 14, Dundrum,4464.0
110,495000,"14 Saint Lawrence Terrace, Howth, Dublin 13",2,1,55.0,Dublin 13, Howth,9000.0
111,395000,"4 Forest Avenue, Kingswood Heights, Tallaght, D24 E27T, Dublin 24",3,2,100.0,Dublin 24, D24 E27T,3950.0
112,1100000,"31 Stillorgan Park, Blackrock, Co. Dublin",4,3,156.0,Blackrock, Blackrock,7051.0
113,260000,"291 Palmerstown Woods, Clondalkin, Clondalkin, Dublin 22",3,1,90.0,Dublin 22, Clondalkin,2889.0
114,785000,"23 Glenageary Park, Glenageary, Co. Dublin",5,1,131.0,Glenageary, Glenageary,5992.0
115,395000,"23 Whitechurch View, Rathfarnham, Dublin 16",3,2,105.0,Dublin 16, Rathfarnham,3762.0
116,497500,"93 Scholarstown Park, Rathfarnham, Rathfarnham, Dublin 14",3,1,89.0,Dublin 14, Rathfarnham,5590.0
117,795000,"4 Northumberland Avenue, Dun Laoghaire, Co. Dublin",4,3,171.0,Glenageary, Dun Laoghaire,4649.0
118,799950,"22 Thomastown Road, Glenageary, Co. Dublin",4,4,256.0,Glenageary, Glenageary,3125.0
119,395000,"22 The Telford Building, Heuston South Quarter, St John Road West, Dublin 8",2,3,85.0,Dublin 8, St John Road West,4647.0
120,495000,"Apt 53 Smithfield Market, Block A, Smithfield, Dublin 1",3,2,83.0,Dublin 1, Smithfield,5964.0
121,260000,"41 The Green, Larch Hill, Santry, Dublin 9",2,1,71.0,Dublin 9, Santry,3662.0
122,650000,"82 Sutton Park, Sutton, Dublin 13",4,2,144.0,Dublin 13, Sutton,4514.0
123,1650000,"St Josephs, 10 Belgrove Road, Clontarf, Dublin 3",5,2,198.0,Dublin 3, Clontarf,8333.0
124,289950,"11 Newlands Manor Park, Clondalkin, Clondalkin, Dublin 22",3,3,109.0,Dublin 22, Clondalkin,2660.0
125,225000,"31 Block A, The Maltings, Dublin 8",1,1,45.0,Dublin 8, The Maltings,5000.0
126,340000,"10 Pinebrook Downs, Clonsilla, Dublin 15",3,1,75.0,Dublin 15, Clonsilla,4533.0
127,249950,"Apartment 66, Premier Square, Finglas, Dublin 11",2,2,66.0,Dublin 11, Finglas,3787.0
128,275000,"Apartment 72, Dakota Court, Royal Canal Bank, Dublin 7",1,1,58.0,Dublin 7, Royal Canal Bank,4741.0
129,395000,"21 Kirkwood, Park Avenue, Sandymount, Dublin 4",2,1,64.0,Dublin 4, Sandymount,6172.0
130,795000,"65 Shrewsbury Park, Ballsbridge, Ballsbridge, Dublin 4",3,3,130.0,Dublin 4, Ballsbridge,6115.0
131,460000,"37 Aikenhead Terrace, Stella Gardens, Dublin 4",3,1,79.0,Dublin 4, Stella Gardens,5823.0
132,425000,"16 Mount Argus Crescent, Harold's Cross, Dublin 6W",2,1,61.0,Dublin 6W, Harold's Cross,6967.0
133,1450000,"13 Victoria Road, Rathgar, Dublin 6",4,3,200.0,Dublin 6, Rathgar,7250.0
134,750000,"14 Richmond Park, Monkstown, Co. Dublin",3,1,100.0,Blackrock, Monkstown,7500.0
135,375000,"28 Olivemount Road, Dublin 14",3,2,95.0,Dublin 14,28 Olivemount Road,3947.0
136,1395000,"Kincade, Shielmartin Road, Sutton, Dublin 13",4,5,226.0,Dublin 13, Sutton,6173.0
137,298000,"105 Parkgate Place, Parkgate Street, Islandbridge, Dublin 8",1,1,50.0,Dublin 8, Islandbridge,5960.0
138,325000,"End Cottage, 544 Ballymount Road Lower, Walkinstown, Dublin 12",3,1,85.0,Dublin 12, Walkinstown,3824.0
139,795000,"Malta, 1 Fonthill Road, Rathfarnham, Dublin 14",5,2,144.0,Dublin 14, Rathfarnham,5521.0
140,775000,"15 Beechwood Court, Stillorgan, Blackrock, Co. Dublin",4,3,152.0,Blackrock, Blackrock,5099.0
141,295000,"12 Thomas Davis Street West, Inchicore, D08R3HE, Dublin 8",2,1,55.0,Dublin 8, D08R3HE,5364.0
142,225000,"Apartment 20, College Court, Dublin 8",1,1,46.0,Dublin 8, College Court,4891.0
143,475000,"Apartment 80, The Clayton, The Gasworks, Dublin 4",3,1,71.0,Dublin 4, The Gasworks,6690.0
144,215000,"83 Decies Road, Ballyfermot, Dublin 10",2,1,60.0,Dublin 10, Ballyfermot,3583.0
145,1675000,"18 Garville Road, Rathgar, Dublin 6",4,3,218.0,Dublin 6, Rathgar,7683.0
146,495000,"22 Wood Dale Green, Ballycullen, Dublin 24",4,3,121.0,Dublin 24, Ballycullen,4091.0
147,335000,"12 Lein Park, Artane, Dublin 5",2,1,80.0,Dublin 5, Artane,4188.0
