,price,address,bedrooms,bathrooms,floor_area
0,"€3,000,000 ","7 Henrietta Street, Dublin 1",6 Bed,7 Bath,763 m²
1,"€10,000,000 ","Drumleck House, Ceanchor Road, Howth, Dublin 13",5 Bed,5 Bath,781 m²
2,"€875,000 ","13 Inverness Road, Fairview, Fairview, Dublin 3",4 Bed,3 Bath,200 m²
3,"€895,000 ","3 Ballymun Road, Glasnevin, Dublin 9",4 Bed,2 Bath,152 m²
4,"€245,000 ","4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",2 Bed,2 Bath,60 m²
5,"€410,000 ","93 Muckross Avenue, Perrystown, Perrystown, Dublin 12",3 Bed,1 Bath,94 m²
6,"€875,000 ","Filmar, 2 Wansdowne, Blackrock, Co. Dublin",4 Bed,2 Bath,154 m²
7,"€975,000 ","7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",6 Bed,6 Bath,221 m²
8,"€575,000 ","1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3 Bed,1 Bath,105 m²
9,"€460,000 ","48 Alderwood, Hollystown, Hollystown, Dublin 15",4 Bed,4 Bath,148 m²
10,"€550,000 ","5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",2 Bed,1 Bath,72 m²
11,"€995,000 ","28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",2 Bed,2 Bath,143 m²
12,"€1,475,000 ","Fern House, 126, Ranelagh, Dublin 6",5 Bed,2 Bath,265 m²
13,"€545,000 ","17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",3 Bed,2 Bath,100 m²
14,"€1,495,000 ","11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",5 Bed,6 Bath,286 m²
15,"€2,495,000 ","86 Kincora Road, Clontarf, Clontarf, Dublin 3",4 Bed,2 Bath,286 m²
16,"€310,000 ","34 The Pine, The Wintergarden, Pearse Street, Dublin 2",1 Bed,1 Bath,45 m²
17,"€470,000 ","Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2 Bed,2 Bath,74 m²
