,price,address,bedrooms,bathrooms,floor_area
59,"€950,000 ","Sea View, 50 Carrickbrack Hill, Sutton, Dublin 13",4 Bed,3 Bath,231 m²
60,"€930,000 ","Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",4 Bed,1 Bath,126 m²
61,"€2,500,000 ","South Hill House, Merrion Park, Blackrock, Co. Dublin",9 Bed,6 Bath,561 m²
62,"€295,000 ","90 Rialto Cottages, Rialto, Rialto, Dublin 8",2 Bed,1 Bath,45 m²
63,"€350,000 ","19 Saint Samson's Square, Balgriffin, Dublin 13",3 Bed,3 Bath,102 m²
64,"€895,000 ","21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4 Bed,2 Bath,180 m²
65,"€475,000 ","2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4 Bed,3 Bath,118 m²
66,"€595,000 ","57 Drumnigh Manor, Portmarnock, Co. Dublin",3 Bed,4 Bath,147 m²
67,"€650,000 ","Remount Farm, Racecourse Commons, Lusk, Co. Dublin",4 Bed,2 Bath,190 m²
68,Price on Application ,"87 Haddington Road, Dublin 4",5 Bed,3 Bath,223 m²
69,"€275,000 ","Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3 Bed,2 Bath,87 m²
70,"€350,000 ","23A The Drive, St. Catherine's Estate, Rush, Co. Dublin",4 Bed,3 Bath,98 m²
71,"€1,700,000 ","Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",3 Bed,3 Bath,161 m²
72,"€895,000 ","7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",4 Bed,3 Bath,140 m²
73,"€975,000 ","Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",4 Bed,4 Bath,175 m²
74,"€1,100,000 ","Lohengrin, 13 Charleville, Churchtown, Dublin 14",5 Bed,3 Bath,170 m²
75,"€395,000 ","56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",2 Bed,2 Bath,76 m²
76,"€975,000 ","8 Castleview Park, Dublin Road, Malahide, Co. Dublin",4 Bed,2 Bath,126 m²
77,"€1,000,000 ","142 Drumnigh Wood, Portmarnock, Co. Dublin",4 Bed,4 Bath,299 m²
78,"€370,000 ","70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",3 Bed,2 Bath,89 m²
79,"€995,000 ","66 Offington Lawn, Sutton, Sutton, Dublin 13",4 Bed,2 Bath,239 m²
80,"€455,000 ","27 Windmill Avenue, Swords, Co. Dublin",3 Bed,2 Bath,116 m²
81,"€599,000 ","10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",4 Bed,3 Bath,125 m²
82,"€1,600,000 ","37 The Old Golf Links, Malahide, Co. Dublin",5 Bed,3 Bath,200 m²
83,"€975,000 ","120 Ard Na Mara, Malahide, Co. Dublin",4 Bed,2 Bath,153 m²
84,"€1,400,000 ","Cranford Hall, Estuary Road, Malahide, Co. Dublin",5 Bed,2 Bath,299 m²
85,"€625,000 ","27 Grace Park Grove, Grace Park Wood, Drumcondra, Dublin 3",3 Bed,3 Bath,105 m²
